name;email;website;rating;address;phone;claimed
Schnell Gut & Günstig Renovierung GmbH;;http://www.sgg-bau.de/;4,5;Landsberger Str. 249, 80687 München;089 99931577;no
Stani der Handwerker;;false;false;Schmalkaldener Str. 10, 80807 München;089 3508753;no
Renovierungsservice München Ost;;http://renovierungmuc.de/;false;;0176 81273511;no
Tommy Handwerker;;http://www.tommy-handwerker.de/;5,0;;0172 9196076;no
Freissle & Sohn GmbH;;http://www.freissleundsohn.de/;4,5;Freystraße 1, 80802 München;089 997437220;no
Büro-Organisation für Handwerker;;http://www.italiaander.de/;false;;01514 2366861;no
Renovierung München Nepelski, Sanierung, Trockenbau;;https://renovierung-sanierung-muenchen-nepelski.de/;5,0;Mariahilfstraße 22, 81541 München;0176 51182873;no
Albert Meisterbetrieb GmbH;;false;false;Holzstraße 12, 80469 München;false;no
Ingo Weber Zementwerkstatt GmbH;;http://www.zement-werkstatt.de/;3,9;Volkartstraße 19, 80634 München;089 37418828;no
Handwerker-Bodnar.de;;https://www.dasoertliche.de/Themen/Adlzreiterstra%C3%9Fe/M%C3%BCnchen.htm;;Adlzreiterstraße 5;;
BTI Handwerker-Center München;;https://www.bti.de/shop-de/hwc/muenchen;4,7;Schleißheimer Str. 92, 85748 Garching bei München;089 3270800;no
Bildungszentrum München der Handwerkskammer für München und Oberbayern;;http://www.hwk-muenchen-bildung.de/muenchen;false;Mühldorfstraße 6, 81671 München;089 450981700;no
Handwerker Service München;;http://www.handwerker-service-muenchen.de/;;Hauptstraße 32;;
Schreinerei Rehrl Joachim;;https://www.schreinerei-rehrl.de/;2,3;Theresienstraße 77, 80333 München;089 35732869;no
Hausmeister Berisha;;https://www.my-hammer.de/firma/handwerker-und-hausmeister-berisha-muenchen/;false;Eversbuschstraße 169a, 80999 München;0176 65599640;no
Altbausanierung München Umbau-Trockenbau-Bodenverlegung;;http://www.sanierung-in-muenchen.de/;5,0;Blumenstraße 15, 80331 München;089 43738392;no
Ihr Münchner Heinzelmann - (P.-A. Huhn);;https://ihr-heinzelmann.business.site/?utm_source=gmb&utm_medium=referral;5,0;;0163 4873195;no
Piotr Marek Innen- und Sanierungsbau;;http://www.marek-trockenbau.de/;2,0;Landsberger Str. 104, 80339 München;0162 3617726;no
HGS - Oliver Deuerling;;false;5,0;;089 33099000;no
